gene	P_value	HR	Low.95.CI	High.95.CI	fdr
GPRIN2	GPRIN2	0.00483656982123187	0.881192219261454	0.806979764109289	0.962229490530031	0.026381289933992
HNRNPA2B1	HNRNPA2B1	0.00797190961704234	1.53107740821566	1.11773681157612	2.09727192096574	0.0384717137871775
MAP3K8	MAP3K8	0.0219066050544103	0.801091796236981	0.662700447469427	0.968383329826858	0.0674049386289549
HMMR	HMMR	2.96928734787073e-05	1.29047879736055	1.14490296108458	1.45456478238081	0.00137323055824763
METRNL	METRNL	0.0469192676864151	1.18632219271634	1.00232987478463	1.40408899339022	0.117298169216038
GPI	GPI	3.90312093479796e-05	1.54739727154576	1.25676518697461	1.90523921318297	0.00137323055824763
RNF217	RNF217	0.0231201991370928	1.1916006559804	1.02432945823334	1.38618694592834	0.0693605974112783
SMOX	SMOX	2.27509364087563e-05	1.31292840160359	1.15752982326582	1.48918926587476	0.00137323055824763
F2RL1	F2RL1	0.00158349106962262	1.19929557488913	1.0714115313382	1.34244390122643	0.0146168406426703
LGR4	LGR4	0.00469932273552136	1.22021728869556	1.06294094154494	1.40076477764366	0.026381289933992
SLIRP	SLIRP	0.00833553798722179	1.43898045494521	1.09807438849464	1.88572356427784	0.0384717137871775
MTHFS	MTHFS	0.00283081224246069	1.39503178629558	1.12115747356831	1.73580761905028	0.0212310918184551
