gene	P_value	HR	Low 95%CI	High 95%CI	fdr
GPRIN2	0.00483656982123187	0.881192219261454	0.806979764109289	0.962229490530031	0.026381289933992
TCF21	0.0270323732595591	0.89927511072745	0.818504534607432	0.988016181439644	0.0772353521701688
CABLES1	0.0427044311170728	0.871362250183913	0.7627171013513	0.995483344611488	0.113878482978861
HNRNPA2B1	0.00797190961704234	1.53107740821566	1.11773681157612	2.09727192096574	0.0384717137871775
SIM2	0.0361785399725592	1.10428791178763	1.00641081436205	1.21168391149819	0.0986687453797069
SLC16A3	4.57743519415878e-05	1.35906829522303	1.17266775774152	1.57509799249342	0.00137323055824763
MAP3K8	0.0219066050544103	0.801091796236981	0.662700447469427	0.968383329826858	0.0674049386289549
PANX1	0.00339368256450529	1.38270794854069	1.11321670893736	1.71743853250516	0.0226245504300353
PGD	0.00939725385849549	1.20151974999759	1.04607691564458	1.38006076612895	0.0417655727044244
HMMR	2.96928734787073e-05	1.29047879736055	1.14490296108458	1.45456478238081	0.00137323055824763
S100A10	0.00221994829396451	1.28495222485986	1.09426723076201	1.50886563515435	0.017759586351716
METRNL	0.0469192676864151	1.18632219271634	1.00232987478463	1.40408899339022	0.117298169216038
GPI	3.90312093479796e-05	1.54739727154576	1.25676518697461	1.90523921318297	0.00137323055824763
HOXB7	0.0112501861975732	1.11480579699543	1.02495349886433	1.2125349748956	0.0459896725553256
MRPS12	0.0031088522543716	1.34977488124004	1.1064057350643	1.6466764156105	0.0219448394426231
PSMD11	0.00059086254944514	1.51522181863191	1.19542454987864	1.92057052859696	0.00644577326667426
HNRNPC	0.000581905237190086	1.8460817767738	1.30181325509397	2.61790077278811	0.00644577326667426
ATOH8	0.0326907541189088	0.920613117325019	0.853321544251786	0.993211196295325	0.0912300114946292
FNDC3B	0.0266242762927668	1.23830783092839	1.0250894980316	1.49587551826749	0.0772353521701688
BUB3	0.000830048648914647	1.57636956354364	1.20714262733884	2.05853139851819	0.00830048648914647
ATP1B3	0.0216515188020835	1.28491789012145	1.03741361347077	1.59147129256432	0.0674049386289549
AGPS	0.0137901741052825	1.34818416324634	1.06288510360574	1.71006304619585	0.0509734021542869
SPECC1	0.00184643949932054	1.32369064174402	1.10950857325182	1.57921890581282	0.0158266242798904
U2SURP	0.0151822870241885	1.33672839743128	1.05754024493935	1.68962156953345	0.0522072392936279
INPP5A	0.0441294693040425	0.788611262186064	0.625800980519002	0.993778760670723	0.115120354706198
LSM3	0.0164921264498088	1.47027171298384	1.07292373221115	2.01477406557639	0.054973754832696
ABCE1	0.0177248257513454	1.33352730277906	1.05119699933067	1.69168582900207	0.0574859213557149
RNF217	0.0231201991370928	1.1916006559804	1.02432945823334	1.38618694592834	0.0693605974112783
ERH	0.0152271114606415	1.39786050016896	1.06656865352581	1.83205644706802	0.0522072392936279
HNRNPL	0.0038487801631943	1.7795550633274	1.20384509750436	2.63058447467965	0.0243080852412272
SMOX	2.27509364087563e-05	1.31292840160359	1.15752982326582	1.48918926587476	0.00137323055824763
MAP2K1	0.00532256605335395	1.47700983937703	1.12268279181777	1.94316514113868	0.0277699098435858
F2RL1	0.00158349106962262	1.19929557488913	1.0714115313382	1.34244390122643	0.0146168406426703
TMX2	0.00453847034964826	1.55045882768737	1.14532753211731	2.09889530194885	0.026381289933992
PTBP1	0.000274304747301112	1.83513056713981	1.32322534194814	2.54507232569526	0.00411457120951668
PSMC6	0.00825095771933222	1.40645241909521	1.0920010379889	1.81145286347143	0.0384717137871775
SPATS2L	0.0133657919539539	1.24308242329196	1.04623885800069	1.47696092463084	0.0509734021542869
EPHB2	0.0114974181388314	1.15665099385535	1.03320386408861	1.29484757857218	0.0459896725553256
LIMCH1	0.0453556878308839	0.872235905270915	0.762948605029577	0.997177882531522	0.115801756163959
AATF	0.0140176855924289	1.40248402301672	1.07079782149533	1.83691206251277	0.0509734021542869
B4GALT4	0.000173476284807084	1.40994429472523	1.17847479291209	1.6868777560493	0.00297387916812144
AP2M1	6.0081213432424e-05	1.73939402992169	1.32730839845899	2.27941870543411	0.00144194912237817
KPNA2	0.000162731988786577	1.3255593854904	1.14493040162385	1.53468514939387	0.00297387916812144
LGR4	0.00469932273552136	1.22021728869556	1.06294094154494	1.40076477764366	0.026381289933992
SLIRP	0.00833553798722179	1.43898045494521	1.09807438849464	1.88572356427784	0.0384717137871775
FHL3	0.0105425260099923	1.35184468596328	1.07297628276128	1.7031914724752	0.0451822543285383
MTHFS	0.00283081224246069	1.39503178629558	1.12115747356831	1.73580761905028	0.0212310918184551
MAP4K4	0.000555842435666894	1.3658101245746	1.14426190464168	1.63025378090748	0.00644577326667426
